objectid,parentid,item_code,title,commonname,class,order,suborder,family,bone_type,notes,location,subject,cabinet,source,rights,rightsstatement,type,format,group,display_template,language,object_location,image_small,image_thumb,
oc107,,SC 1521,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Skull ,,,Frog;Amphibian;Skull,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc108,oc107,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1521.png,/objects/small/sc1521_sm.jpg,/objects/thumbs/sc1521_th.jpg,
oc110,oc107,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1521s.png,/objects/small/sc1521s_sm.jpg,/objects/thumbs/sc1521s_th.jpg,
oc111,oc107,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1521r.png,/objects/small/sc1521r_sm.jpg,/objects/thumbs/sc1521r_th.jpg,
oc112,,SC 1522,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,"Skull, vertebrae",,,Frog;Amphibian;Skull;Vertebrae;Disarticulated,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc113,oc112,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1522.png,/objects/small/sc1522_sm.jpg,/objects/thumbs/sc1522_th.jpg,
oc114,oc112,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1522f.png,/objects/small/sc1522f_sm.jpg,/objects/thumbs/sc1522f_th.jpg,
oc115,oc112,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1522r.png,/objects/small/sc1522r_sm.jpg,/objects/thumbs/sc1522r_th.jpg,
oc116,,SC 2000,Aquarana catesbeiana,American Bullfrog,Amphibia,Anura,Neobatrachia,Ranidae,Full mounted Skeleton ,,,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc117,oc116,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2000.png,/objects/small/sc2000_sm.jpg,/objects/thumbs/sc2000_th.jpg,
oc118,oc116,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2000r.png,/objects/small/sc2000r_sm.jpg,/objects/thumbs/sc2000r_th.jpg,
oc119,,SC 2001,Anaxyrus americanus,American Toad,Amphibia,Anura,Neobatrachia,Bufonidae,Full mounted Skeleton ,,,Frog;Amphibian;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc120,oc119,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2001.png,/objects/small/sc2001_sm.jpg,/objects/thumbs/sc2001_th.jpg,
oc121,oc119,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2001r.png,/objects/small/sc2001r_sm.jpg,/objects/thumbs/sc2001r_th.jpg,
oc122,oc119,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2001s.png,/objects/small/sc2001s_sm.jpg,/objects/thumbs/sc2001s_th.jpg,
oc123,oc119,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc2001t.png,/objects/small/sc2001t_sm.jpg,/objects/thumbs/sc2001t_th.jpg,
oc124,,SC 1400,Branta canadensis,Canada Goose ,Aves,Anseriformes,n/a,Anatidae,Full Mounted Skeleton ,,,Bird;Avian;Goose;Mounted;Skeleton,,,,,Image;StillImage,image/jpg,artifact,compound_object,,,,,
oc125,oc124,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1400s.jpg,/objects/small/sc1400s_sm.jpg,/objects/thumbs/sc1400s_th.jpg,
oc126,oc124,,,,,,,,,,,,,,,,Image;StillImage,image/jpg,artifact,artifact_image,,/objects/sc1400.jpg,/objects/small/sc1400_sm.jpg,/objects/thumbs/sc1400_th.jpg,
